,Run,Optimal,Load when Offloading,Load Difference
1,1,39.87,40.032,0.16199999999999903
2,2,39.554,39.554,0.0
3,3,38.522,38.522,0.0
4,4,39.648,39.694,0.045999999999999375
5,5,39.554,39.672,0.117999999999995
6,6,39.788,39.788,0.0
7,7,39.34,39.394,0.05399999999999494
8,8,38.408,38.574,0.16599999999999682
9,9,38.27,38.356,0.08599999999999852
10,10,38.486,38.662,0.17600000000000193
11,11,38.428,38.454,0.026000000000003354
12,12,38.404,38.404,0.0
13,13,37.276,37.276,0.0
14,14,38.564,38.56800000000001,0.004000000000011994
15,15,34.766,34.766,0.0
16,16,35.31,35.31,0.0
17,17,35.278,35.278,0.0
18,18,35.596,35.596,0.0
19,19,35.376,35.376,0.0
20,20,36.526,36.526,0.0
