,Run,Optimal,Load when Offloading,Load Difference
1,1,39.87,41.244,1.3740000000000023
2,2,39.554,43.592,4.037999999999997
3,3,38.522,41.064,2.5420000000000016
4,4,39.648,41.362,1.7139999999999986
5,5,39.554,46.384,6.829999999999998
6,6,39.788,44.906,5.118000000000002
7,7,39.34,44.284,4.9439999999999955
8,8,38.408,43.048,4.640000000000001
9,9,38.27,43.45,5.18
10,10,38.486,42.12,3.6340000000000003
11,11,38.428,43.2,4.772000000000006
12,12,38.404,38.522,0.117999999999995
13,13,37.276,42.696,5.419999999999995
14,14,38.564,38.568,0.003999999999997783
15,15,34.766,42.3,7.533999999999999
16,16,35.31,37.672,2.3619999999999948
17,17,35.278,36.744,1.466000000000001
18,18,35.596,37.84,2.244000000000007
19,19,35.376,37.816,2.440000000000005
20,20,36.526,37.214,0.6879999999999953
