,Run,Optimal,Load when Offloading,Load Difference
1,1,39.87,43.544,3.6739999999999995
2,2,39.554,49.366,9.811999999999998
3,3,38.522,52.044,13.521999999999998
4,4,39.648,52.516,12.867999999999995
5,5,39.554,51.69,12.135999999999996
6,6,39.788,44.906,5.118000000000002
7,7,39.34,40.56,1.2199999999999989
8,8,38.408,40.586,2.1779999999999973
9,9,38.27,48.466,10.195999999999998
10,10,38.486,43.524,5.038000000000004
11,11,38.428,41.65,3.2220000000000013
12,12,38.404,48.826,10.421999999999997
13,13,37.276,48.462,11.186
14,14,38.564,45.516,6.951999999999998
15,15,34.766,42.348,7.582000000000001
16,16,35.31,37.7,2.3900000000000006
17,17,35.278,38.756,3.4780000000000015
18,18,35.596,38.662,3.0660000000000025
19,19,35.376,37.594,2.2180000000000035
20,20,36.526,39.672,3.1459999999999937
