,Run,Optimal,Load when Offloading,Load Difference
1,1,40.118,40.118,0.0
2,2,39.87,40.032,0.16199999999999903
3,3,39.86,39.86,0.0
4,4,39.554,46.79,7.235999999999997
5,5,38.522,44.444,5.922000000000004
6,6,39.678,45.292,5.614000000000004
7,7,39.694,39.694,0.0
8,8,39.648,45.164,5.515999999999998
9,9,39.672,39.672,0.0
10,10,39.554,39.554,0.0
11,11,39.788,40.132,0.3440000000000012
12,12,40.516,49.43600000000001,8.920000000000009
13,13,39.394,39.86,0.4660000000000011
14,14,39.34,39.34,0.0
15,15,39.112,41.738,2.6259999999999977
16,16,38.408,38.408,0.0
17,17,38.356,38.356,0.0
18,18,38.27,38.662,0.3919999999999959
19,19,38.662,38.708,0.045999999999999375
20,20,38.486,38.486,0.0
21,21,38.454,38.454,0.0
22,22,38.428,38.428,0.0
23,23,38.522,40.002,1.480000000000004
24,24,38.404,45.298,6.893999999999998
25,25,37.276,37.276,0.0
26,26,38.618,38.63800000000001,0.020000000000010232
27,27,38.564,47.3,8.735999999999997
28,28,38.838,44.804,5.966000000000001
29,29,38.744,38.744,0.0
30,30,34.766,37.77,3.004000000000005
31,31,35.31,36.496,1.186
32,32,35.97400000000001,35.97400000000001,0.0
33,33,35.278,36.582,1.304000000000002
34,34,35.93,39.456,3.5260000000000034
35,35,36.314,40.028,3.7139999999999986
36,36,35.596,37.84,2.244000000000007
37,37,35.61,36.408,0.7980000000000018
38,38,35.376,40.118,4.742000000000004
39,39,36.526,36.526,0.0
40,40,36.596,36.792,0.19600000000000506
