,Run,Optimal,Load when Offloading,Load Difference
1,1,39.87,40.032,0.16199999999999903
2,2,39.554,39.554,0.0
3,3,38.522,45.292,6.770000000000003
4,4,39.648,39.648,0.0
5,5,39.554,39.554,0.0
6,6,39.788,39.788,0.0
7,7,39.34,39.86,0.519999999999996
8,8,38.408,39.062,0.6539999999999964
9,9,38.27,38.356,0.08599999999999852
10,10,38.486,38.662,0.17600000000000193
11,11,38.428,38.454,0.026000000000003354
12,12,38.404,38.404,0.0
13,13,37.276,42.294,5.017999999999994
14,14,38.564,44.804,6.240000000000002
15,15,34.766,38.542,3.7760000000000034
16,16,35.31,36.08,0.769999999999996
17,17,35.278,35.278,0.0
18,18,35.596,35.596,0.0
19,19,35.376,35.376,0.0
20,20,36.526,36.526,0.0
